[11:00 am] Cook C Ready
[11:00 am] 	Cook D Ready
[11:01 am] Cook C: Preparing order (Waiter U, Customer 1, Count 4)
[11:01 am] 	Cook D: Preparing order (Waiter W, Customer 3, Count 1)
[11:06 am] 	Cook D: Prepared order (Waiter W, Customer 3, Count 1)
[11:06 am] 	Cook D: Preparing order (Waiter X, Customer 4, Count 4)
[11:21 am] Cook C: Prepared order (Waiter U, Customer 1, Count 4)
[11:21 am] Cook C: Preparing order (Waiter V, Customer 2, Count 2)
[11:26 am] 	Cook D: Prepared order (Waiter X, Customer 4, Count 4)
[11:26 am] 	Cook D: Preparing order (Waiter Y, Customer 5, Count 2)
[11:31 am] Cook C: Prepared order (Waiter V, Customer 2, Count 2)
[11:31 am] Cook C: Preparing order (Waiter U, Customer 6, Count 2)
[11:36 am] 	Cook D: Prepared order (Waiter Y, Customer 5, Count 2)
[11:36 am] 	Cook D: Preparing order (Waiter V, Customer 7, Count 1)
[11:41 am] Cook C: Prepared order (Waiter U, Customer 6, Count 2)
[11:41 am] Cook C: Preparing order (Waiter W, Customer 8, Count 1)
[11:41 am] 	Cook D: Prepared order (Waiter V, Customer 7, Count 1)
[11:41 am] 	Cook D: Preparing order (Waiter X, Customer 9, Count 1)
[11:46 am] Cook C: Prepared order (Waiter W, Customer 8, Count 1)
[11:46 am] Cook C: Preparing order (Waiter Y, Customer 10, Count 1)
[11:46 am] 	Cook D: Prepared order (Waiter X, Customer 9, Count 1)
[11:46 am] 	Cook D: Preparing order (Waiter U, Customer 14, Count 1)
[11:51 am] Cook C: Prepared order (Waiter Y, Customer 10, Count 1)
[11:51 am] 	Cook D: Prepared order (Waiter U, Customer 14, Count 1)
[11:52 am] Cook C: Preparing order (Waiter V, Customer 17, Count 1)
[11:57 am] Cook C: Prepared order (Waiter V, Customer 17, Count 1)
[11:57 am] 	Cook D: Preparing order (Waiter W, Customer 18, Count 2)
[12:02 pm] Cook C: Preparing order (Waiter X, Customer 19, Count 1)
[12:07 pm] Cook C: Prepared order (Waiter X, Customer 19, Count 1)
[12:08 pm] Cook C: Preparing order (Waiter Y, Customer 22, Count 4)
[12:07 pm] 	Cook D: Prepared order (Waiter W, Customer 18, Count 2)
[12:17 pm] 	Cook D: Preparing order (Waiter U, Customer 23, Count 1)
[12:22 pm] 	Cook D: Prepared order (Waiter U, Customer 23, Count 1)
[12:22 pm] 	Cook D: Preparing order (Waiter V, Customer 24, Count 3)
[12:28 pm] Cook C: Prepared order (Waiter Y, Customer 22, Count 4)
[12:28 pm] Cook C: Preparing order (Waiter W, Customer 25, Count 2)
[12:37 pm] 	Cook D: Prepared order (Waiter V, Customer 24, Count 3)
[12:37 pm] 	Cook D: Preparing order (Waiter X, Customer 26, Count 1)
[12:38 pm] Cook C: Prepared order (Waiter W, Customer 25, Count 2)
[12:38 pm] Cook C: Preparing order (Waiter Y, Customer 27, Count 2)
[12:42 pm] 	Cook D: Prepared order (Waiter X, Customer 26, Count 1)
[12:42 pm] 	Cook D: Preparing order (Waiter U, Customer 28, Count 1)
[12:47 pm] 	Cook D: Prepared order (Waiter U, Customer 28, Count 1)
[12:47 pm] 	Cook D: Preparing order (Waiter V, Customer 29, Count 1)
[12:48 pm] Cook C: Prepared order (Waiter Y, Customer 27, Count 2)
[12:52 pm] 	Cook D: Prepared order (Waiter V, Customer 29, Count 1)
[12:53 pm] Cook C: Preparing order (Waiter W, Customer 30, Count 3)
[12:54 pm] 	Cook D: Preparing order (Waiter X, Customer 31, Count 2)
[01:04 pm] 	Cook D: Prepared order (Waiter X, Customer 31, Count 2)
[01:04 pm] 	Cook D: Preparing order (Waiter Y, Customer 32, Count 1)
[01:08 pm] Cook C: Prepared order (Waiter W, Customer 30, Count 3)
[01:08 pm] Cook C: Preparing order (Waiter U, Customer 33, Count 2)
[01:09 pm] 	Cook D: Prepared order (Waiter Y, Customer 32, Count 1)
[01:09 pm] 	Cook D: Preparing order (Waiter V, Customer 37, Count 2)
[01:18 pm] Cook C: Prepared order (Waiter U, Customer 33, Count 2)
[01:18 pm] Cook C: Preparing order (Waiter W, Customer 38, Count 1)
[01:19 pm] 	Cook D: Prepared order (Waiter V, Customer 37, Count 2)
[01:23 pm] Cook C: Prepared order (Waiter W, Customer 38, Count 1)
[01:24 pm] 	Cook D: Preparing order (Waiter X, Customer 39, Count 1)
[01:29 pm] 	Cook D: Prepared order (Waiter X, Customer 39, Count 1)
[01:31 pm] Cook C: Preparing order (Waiter Y, Customer 40, Count 2)
[01:35 pm] 	Cook D: Preparing order (Waiter U, Customer 41, Count 1)
[01:40 pm] 	Cook D: Prepared order (Waiter U, Customer 41, Count 1)
[01:41 pm] Cook C: Prepared order (Waiter Y, Customer 40, Count 2)
